"param_num","sim_num","model","estimator","basis_dim","sigma_type","AIPW_estimate","HOIF_correction","ATE_estimate","true_ATE","bias","magnitude","noise","confounding"
17,18,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.0983263341644058,-0.149828183045966,-0.0515018488815602,0.125600495893383,-0.177102344774943,0,0,0
17,19,"glm","AIPW",NA,NA,0.164250677286592,NA,0.164250677286592,0.125600495893383,0.0386501813932094,0,0,0
17,19,"glm","HOIF_basis_dim25",25,"tr1",0.164250677286592,-0.000157989232986662,0.164092688053606,0.125600495893383,0.0384921921602228,0,0,0
17,19,"glm","HOIF_basis_dim261",261,"tr2",0.164250677286592,-0.121518591839645,0.042732085446947,0.125600495893383,-0.0828684104464359,0,0,0
17,19,"glm","HOIF_basis_dim1485",1485,"tr3",0.164250677286592,-48.9078890208992,-48.7436383436126,0.125600495893383,-48.869238839506,0,0,0
17,19,"glm","HOIF_basis_dim25",25,"nlshrink1",0.164250677286592,-2.95263548460295e-06,0.164247724651108,0.125600495893383,0.0386472287577248,0,0,0
17,19,"glm","HOIF_basis_dim261",261,"nlshrink2",0.164250677286592,-0.0881469485691687,0.0761037287174236,0.125600495893383,-0.0494967671759593,0,0,0
17,19,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.164250677286592,-0.129036700355082,0.0352139769315108,0.125600495893383,-0.0903865189618721,0,0,0
17,20,"glm","AIPW",NA,NA,0.074694531140841,NA,0.074694531140841,0.125600495893383,-0.0509059647525419,0,0,0
17,20,"glm","HOIF_basis_dim25",25,"tr1",0.074694531140841,-0.0442651707158429,0.0304293604249981,0.125600495893383,-0.0951711354683848,0,0,0
17,20,"glm","HOIF_basis_dim261",261,"tr2",0.074694531140841,-0.0939484841196559,-0.0192539529788149,0.125600495893383,-0.144854448872198,0,0,0
17,20,"glm","HOIF_basis_dim1485",1485,"tr3",0.074694531140841,-257.814971323294,-257.740276792153,0.125600495893383,-257.865877288047,0,0,0
17,20,"glm","HOIF_basis_dim25",25,"nlshrink1",0.074694531140841,-0.0441698968659022,0.0305246342749388,0.125600495893383,-0.0950758616184441,0,0,0
17,20,"glm","HOIF_basis_dim261",261,"nlshrink2",0.074694531140841,-0.0828822638125411,-0.00818773267170013,0.125600495893383,-0.133788228565083,0,0,0
17,20,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.074694531140841,-0.134417466238469,-0.0597229350976276,0.125600495893383,-0.185323430991011,0,0,0
17,21,"glm","AIPW",NA,NA,0.0891685422685419,NA,0.0891685422685419,0.125600495893383,-0.036431953624841,0,0,0
17,21,"glm","HOIF_basis_dim25",25,"tr1",0.0891685422685419,-0.0394787750553092,0.0496897672132327,0.125600495893383,-0.0759107286801502,0,0,0
17,21,"glm","HOIF_basis_dim261",261,"tr2",0.0891685422685419,-0.116168320616032,-0.02699977834749,0.125600495893383,-0.152600274240873,0,0,0
17,21,"glm","HOIF_basis_dim1485",1485,"tr3",0.0891685422685419,9.30576881010773,9.39493735237627,0.125600495893383,9.26933685648289,0,0,0
17,21,"glm","HOIF_basis_dim25",25,"nlshrink1",0.0891685422685419,-0.0394161015777704,0.0497524406907715,0.125600495893383,-0.0758480552026114,0,0,0
17,21,"glm","HOIF_basis_dim261",261,"nlshrink2",0.0891685422685419,-0.0991569754820406,-0.00998843321349871,0.125600495893383,-0.135588929106882,0,0,0
17,21,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.0891685422685419,-3.71398539274339,-3.62481685047485,0.125600495893383,-3.75041734636823,0,0,0
17,22,"glm","AIPW",NA,NA,0.118345798551101,NA,0.118345798551101,0.125600495893383,-0.00725469734228186,0,0,0
17,22,"glm","HOIF_basis_dim25",25,"tr1",0.118345798551101,-0.0191637623282878,0.0991820362228132,0.125600495893383,-0.0264184596705697,0,0,0
17,22,"glm","HOIF_basis_dim261",261,"tr2",0.118345798551101,-0.144670788894792,-0.0263249903436911,0.125600495893383,-0.151925486237074,0,0,0
17,22,"glm","HOIF_basis_dim1485",1485,"tr3",0.118345798551101,-1.074229736272,-0.955883937720904,0.125600495893383,-1.08148443361429,0,0,0
17,22,"glm","HOIF_basis_dim25",25,"nlshrink1",0.118345798551101,-0.0189148471001486,0.0994309514509524,0.125600495893383,-0.0261695444424305,0,0,0
17,22,"glm","HOIF_basis_dim261",261,"nlshrink2",0.118345798551101,-0.0759722402771241,0.0423735582739769,0.125600495893383,-0.083226937619406,0,0,0
17,22,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.118345798551101,-0.145085952724029,-0.026740154172928,0.125600495893383,-0.152340650066311,0,0,0
17,23,"glm","AIPW",NA,NA,0.11241040508355,NA,0.11241040508355,0.125600495893383,-0.0131900908098325,0,0,0
17,23,"glm","HOIF_basis_dim25",25,"tr1",0.11241040508355,-0.0308258686971824,0.0815845363863681,0.125600495893383,-0.0440159595070148,0,0,0
17,23,"glm","HOIF_basis_dim261",261,"tr2",0.11241040508355,-0.17143394762681,-0.05902354254326,0.125600495893383,-0.184624038436643,0,0,0
17,23,"glm","HOIF_basis_dim1485",1485,"tr3",0.11241040508355,-10.4871114977569,-10.3747010926734,0.125600495893383,-10.5003015885667,0,0,0
17,23,"glm","HOIF_basis_dim25",25,"nlshrink1",0.11241040508355,-0.0303859262246951,0.0820244788588553,0.125600495893383,-0.0435760170345276,0,0,0
17,23,"glm","HOIF_basis_dim261",261,"nlshrink2",0.11241040508355,-0.0686683597976954,0.043742045285855,0.125600495893383,-0.0818584506075279,0,0,0
17,23,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.11241040508355,-0.118399473559089,-0.00598906847553898,0.125600495893383,-0.131589564368922,0,0,0
17,24,"glm","AIPW",NA,NA,0.0995908520602819,NA,0.0995908520602819,0.125600495893383,-0.026009643833101,0,0,0
17,24,"glm","HOIF_basis_dim25",25,"tr1",0.0995908520602819,-0.0363252901186459,0.063265561941636,0.125600495893383,-0.0623349339517469,0,0,0
17,24,"glm","HOIF_basis_dim261",261,"tr2",0.0995908520602819,-0.153810028388543,-0.0542191763282611,0.125600495893383,-0.179819672221644,0,0,0
17,24,"glm","HOIF_basis_dim1485",1485,"tr3",0.0995908520602819,-15.0201740064967,-14.9205831544364,0.125600495893383,-15.0461836503298,0,0,0
17,24,"glm","HOIF_basis_dim25",25,"nlshrink1",0.0995908520602819,-0.0361129008424096,0.0634779512178723,0.125600495893383,-0.0621225446755106,0,0,0
17,24,"glm","HOIF_basis_dim261",261,"nlshrink2",0.0995908520602819,-0.0918827598361186,0.00770809222416333,0.125600495893383,-0.11789240366922,0,0,0
17,24,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.0995908520602819,6.74614179422349,6.84573264628378,0.125600495893383,6.72013215039039,0,0,0
17,25,"glm","AIPW",NA,NA,0.079644975452563,NA,0.079644975452563,0.125600495893383,-0.0459555204408199,0,0,0
17,25,"glm","HOIF_basis_dim25",25,"tr1",0.079644975452563,-0.0392802001784287,0.0403647752741343,0.125600495893383,-0.0852357206192486,0,0,0
17,25,"glm","HOIF_basis_dim261",261,"tr2",0.079644975452563,-0.101988200619248,-0.0223432251666849,0.125600495893383,-0.147943721060068,0,0,0
17,25,"glm","HOIF_basis_dim1485",1485,"tr3",0.079644975452563,42.4997946020395,42.5794395774921,0.125600495893383,42.4538390815987,0,0,0
17,25,"glm","HOIF_basis_dim25",25,"nlshrink1",0.079644975452563,-0.0391671985896036,0.0404777768629593,0.125600495893383,-0.0851227190304236,0,0,0
17,25,"glm","HOIF_basis_dim261",261,"nlshrink2",0.079644975452563,19.1738719052153,19.2535168806678,0.125600495893383,19.1279163847745,0,0,0
17,25,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.079644975452563,-0.0633991033338373,0.0162458721187257,0.125600495893383,-0.109354623774657,0,0,0
17,26,"glm","AIPW",NA,NA,0.164016259109549,NA,0.164016259109549,0.125600495893383,0.0384157632161662,0,0,0
17,26,"glm","HOIF_basis_dim25",25,"tr1",0.164016259109549,-0.0145543875993707,0.149461871510178,0.125600495893383,0.0238613756167955,0,0,0
17,26,"glm","HOIF_basis_dim261",261,"tr2",0.164016259109549,-0.117239430313964,0.0467768287955847,0.125600495893383,-0.0788236670977982,0,0,0
17,26,"glm","HOIF_basis_dim1485",1485,"tr3",0.164016259109549,38.4446114346053,38.6086276937149,0.125600495893383,38.4830271978215,0,0,0
17,26,"glm","HOIF_basis_dim25",25,"nlshrink1",0.164016259109549,-0.0150708571871927,0.148945401922356,0.125600495893383,0.0233449060289735,0,0,0
17,26,"glm","HOIF_basis_dim261",261,"nlshrink2",0.164016259109549,-0.0609183034144777,0.103097955695071,0.125600495893383,-0.0225025401983115,0,0,0
17,26,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.164016259109549,-0.0987268903703897,0.0652893687391594,0.125600495893383,-0.0603111271542235,0,0,0
17,27,"glm","AIPW",NA,NA,0.0932509584729681,NA,0.0932509584729681,0.125600495893383,-0.0323495374204148,0,0,0
17,27,"glm","HOIF_basis_dim25",25,"tr1",0.0932509584729681,-0.0265120455592139,0.0667389129137541,0.125600495893383,-0.0588615829796288,0,0,0
17,27,"glm","HOIF_basis_dim261",261,"tr2",0.0932509584729681,-0.0569160285616052,0.0363349299113628,0.125600495893383,-0.0892655659820201,0,0,0
17,27,"glm","HOIF_basis_dim1485",1485,"tr3",0.0932509584729681,-3.37729521826247,-3.2840442597895,0.125600495893383,-3.40964475568289,0,0,0
17,27,"glm","HOIF_basis_dim25",25,"nlshrink1",0.0932509584729681,-0.0264969654032877,0.0667539930696803,0.125600495893383,-0.0588465028237026,0,0,0
17,27,"glm","HOIF_basis_dim261",261,"nlshrink2",0.0932509584729681,-0.0452949989603656,0.0479559595126024,0.125600495893383,-0.0776445363807805,0,0,0
17,27,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.0932509584729681,0.098493451320524,0.191744409793492,0.125600495893383,0.0661439139001092,0,0,0
17,28,"glm","AIPW",NA,NA,0.144938745788203,NA,0.144938745788203,0.125600495893383,0.0193382498948199,0,0,0
17,28,"glm","HOIF_basis_dim25",25,"tr1",0.144938745788203,-0.0373272316534969,0.107611514134706,0.125600495893383,-0.017988981758677,0,0,0
17,28,"glm","HOIF_basis_dim261",261,"tr2",0.144938745788203,-0.0971884821210753,0.0477502636671274,0.125600495893383,-0.0778502322262555,0,0,0
17,28,"glm","HOIF_basis_dim1485",1485,"tr3",0.144938745788203,-67.0335898944717,-66.8886511486835,0.125600495893383,-67.0142516445768,0,0,0
17,28,"glm","HOIF_basis_dim25",25,"nlshrink1",0.144938745788203,-0.0369453451159434,0.107993400672259,0.125600495893383,-0.0176070952211235,0,0,0
17,28,"glm","HOIF_basis_dim261",261,"nlshrink2",0.144938745788203,-0.076649463136002,0.0682892826522007,0.125600495893383,-0.0573112132411822,0,0,0
